id,game,score,leaderbord,gamers,comp_perc,rating,min_comp_time,max_comp_time,recommend to play
52,Aerial Life,304,1.01,427,97.2,1.5,0,1,not recommended
53,Afro Samurai 2: Revenge of Kuma Volume 1,387,1.36,316,30.7,1.5,3,4,not recommended
54,Agatha Christie - The ABC Murders,406,1.29,3276,24.9,3.1,6,8,recommended
55,Agents of Mayhem,2684,2.03,14809,11.5,3.3,50,60,recommended
56,AI: The Somnium Files,1606,1.27,2099,50.2,4.4,20,25,recommended
57,Akiba's Trip: Undead & Undressed,2853,2.11,7112,15.4,3.6,15,20,recommended
58,ALBEDO: Eyes From Outer Space,1345,1.05,3218,87.4,1.8,1,2,not recommended
59,Albedo: Eyes from Outer Space (EU),1338,1.05,3337,88.3,1.2,2,3,not recommended
60,Alien: Isolation,3109,2.3,55041,9.1,4.1,30,35,recommended
61,Alienation,3015,2.12,35365,4.7,3.9,50,60,recommended
62,Alphaset by POWGI,1360,1.03,531,91.7,3.5,0,1,recommended
63,Alphaset by POWGI (EU),1363,1.03,792,91.9,2.8,0,1,not recommended
64,Amaekata wa Kanojo Nari ni.,1277,1.01,899,96.9,2.1,0,1,not recommended
65,Amamane,318,1.01,389,97.4,4,0,1,recommended
66,Amnesia: Collection,3579,2.65,23341,2,3.3,15,20,recommended
67,Among the Sleep,436,1.53,4640,32.8,3.3,3,4,recommended
68,Another World: 20th Anniversary Edition,419,1.33,19007,42,3.1,1,2,recommended
69,Anthem,3133,2.4,46185,6.9,3,50,60,not recommended
70,anywhereVR,394,1.54,1391,30.3,1.8,8,10,not recommended
71,Ao no Kanata no Four Rhythm HD Edition,1306,1.02,804,94.5,2.2,0,1,not recommended
72,Ape Escape 2,724,2.3,11307,7,3.7,25,30,recommended
73,Apex Legends,484,1.7,112119,20.5,3.9,60,80,recommended
74,Apocalipsis: The Tree of the Knowledge of Good and Evil (EU),1504,1.11,300,78.7,1.8,3,4,not recommended
75,Apotheon,3084,2.34,37211,15.3,3.2,12,15,recommended
76,Aragami,2938,2.02,8538,4,3.6,15,20,recommended
77,Arc the Lad: Twilight of the Spirits,2794,2.07,1975,18,4.3,40,50,recommended
78,Arcade Archives A-JAX,302,1.06,864,81.8,2,0,1,not recommended
79,Arcade Archives Armed F,313,1.1,568,71.1,2.7,0,1,not recommended
80,Arcade Archives Atomic Robo-Kid,304,1.07,280,78.9,2.4,0,1,not recommended
81,Arcade Archives Bomb Jack,289,1.02,966,93.7,2.7,0,1,not recommended
82,Arcade Archives Bubble Bobble,327,1.15,2052,59.3,3.5,0,1,recommended
83,Arcade Archives Buta san,290,1.02,1039,94.3,2.3,0,1,not recommended
84,Arcade Archives City Connection,297,1.04,1091,87.5,2.4,0,1,not recommended
85,Arcade Archives Contra,334,1.17,1858,61,3.3,0,1,recommended
86,Arcade Archives Cosmo Police Galivan,300,1.05,786,85.1,2.1,0,1,not recommended
87,Arcade Archives Crazy Climber,297,1.04,1327,87.3,1.6,0,1,not recommended
88,Arcade Archives Crazy Climber 2,334,1.17,851,62.4,1.8,0,1,not recommended
89,Arcade Archives Double Dragon,322,1.13,3294,67.5,2.9,0,1,not recommended
90,Arcade Archives DOUBLE DRAGON II The Revenge,371,1.3,1353,50.1,3,0,1,not recommended
91,Arcade Archives Exerion,291,1.02,1141,93.2,2,0,1,not recommended
92,Arcade Archives Gradius,315,1.11,1691,71.6,2.9,0,1,not recommended
93,Arcade Archives Gradius II,326,1.14,737,60.4,3.4,0,1,recommended
94,Arcade Archives Ikki,292,1.02,793,92.1,2,0,1,not recommended
95,Arcade Archives Karate Champ,322,1.13,1112,69.2,1.6,0,1,not recommended
96,Arcade Archives Kid's Horehore Daisakusen,301,1.05,364,85.4,2.6,0,1,not recommended
97,Arcade Archives Kiki Kaikai,319,1.12,437,69.3,2.4,0,1,not recommended
98,Arcade Archives Life Force,321,1.13,999,63.4,3.2,0,1,recommended
99,Arcade Archives Magmax,299,1.05,913,85.7,2.3,0,1,not recommended
100,Arcade Archives Mat Mania Exciting Hour,315,1.1,1163,73.4,2.3,0,1,not recommended
101,Arcade Archives Moon Cresta,302,1.06,1374,83.8,1.9,0,1,not recommended
102,Arcade Archives Mr.Goemon,298,1.05,811,86.4,2.5,0,1,not recommended
103,Arcade Archives Mutant Night,296,1.04,184,87.5,2.4,0,1,not recommended
104,Arcade Archives Ninja-Kid,295,1.04,1291,87.7,2.4,0,1,not recommended
105,Arcade Archives Ninja-Kid 2,294,1.03,1016,88,2.4,0,1,not recommended
106,Arcade Archives NOVA2001,290,1.02,1246,93.7,2.5,0,1,not recommended
107,Arcade Archives Raiders 5,296,1.04,698,89.4,2.1,0,1,not recommended
108,Arcade Archives Renegade,327,1.15,1613,65,2.1,0,1,not recommended
109,Arcade Archives Rygar,294,1.03,1358,86,2.4,0,1,not recommended
110,Arcade Archives Scramble,293,1.03,803,91.2,2.6,0,1,not recommended
111,Arcade Archives Shanghai III,309,1.08,729,78.3,2,0,1,not recommended
112,Arcade Archives Shusse Ozumo,289,1.01,885,94,2,0,1,not recommended
113,Arcade Archives Soldier Girl Amazon,309,1.08,457,75.1,1.9,0,1,not recommended
114,Arcade Archives Solomon's Key,301,1.06,765,82.9,2.1,0,1,not recommended
115,Arcade Archives Sunset Riders,345,1.21,495,49.5,5,1,2,recommended
116,Arcade Archives Super Dodgeball,327,1.15,1393,65.8,2.2,0,1,not recommended
117,Arcade Archives Terra Cresta,291,1.02,1608,91.5,2.4,0,1,not recommended
118,Arcade Archives The Legend Of Kage,315,1.11,632,75.6,1.8,0,1,not recommended
119,Arcade Archives TwinBee,302,1.06,694,80,2.8,0,1,not recommended
120,Arcade Archives Wonder Boy,293,1.03,653,89.6,2.7,0,1,not recommended
121,Arcade Classics Anniversary Collection,1748,1.39,872,43.3,3.9,8,10,recommended
122,ARCADE GAME SERIES: DIG DUG,2042,1.51,10377,33,3.2,3,4,recommended
123,ARCADE GAME SERIES: GALAGA,2281,1.69,10572,28.6,3.2,3,4,recommended
124,ARCADE GAME SERIES: Ms. PAC-MAN,1793,1.33,8446,48.3,3.4,1,2,recommended
125,ARCADE GAME SERIES: PAC-MAN,2123,1.57,15137,32.8,3.3,1,2,recommended
126,ArcaniA: Gothic 4,3028,2.32,6885,9.7,3.1,40,50,recommended
127,ARK: Survival Evolved,4957,2.87,39272,1.8,3.4,6,8,recommended
128,Armikrog,407,1.29,1352,44,2.4,2,3,not recommended
129,Asemblance,396,1.26,1508,43,2.5,0,1,not recommended
130,Asemblance (EU),373,1.18,558,52.9,2.7,0,1,not recommended
131,Asemblance: Oversight,353,1.12,310,71,2.4,1,2,not recommended
132,Assassin's Creed Chronicles: China,740,2.35,12229,8.8,3.2,8,10,recommended
133,Assassin's Creed Chronicles: India,590,1.87,2953,18.6,3.2,12,15,recommended
134,Assassin's Creed Freedom Cry,547,1.92,55589,18.4,3.4,6,8,recommended
135,Assassin's Creed II,1734,1.28,44732,44.1,4.4,20,25,recommended
136,Assassin's Creed III Remastered,2464,1.91,27044,18.3,3.7,40,50,recommended
137,Assassin's Creed IV: Black Flag,3177,1.96,122556,2.9,4.2,40,50,recommended
138,Assassin's Creed Liberation Remastered,1670,1.26,9704,56.4,3.4,15,20,recommended
139,Assassin's Creed Odyssey,3235,1.51,110770,10.8,4.4,80,100,recommended
140,Assassin's Creed Origins,2582,1.46,121365,10.8,4.4,60,80,recommended
141,Assassin's Creed Rogue Remastered,2051,1.52,16015,33.6,3.9,25,30,recommended
142,Assassin's Creed Syndicate,2409,1.56,110174,9.4,4.1,35,40,recommended
143,Assassin's Creed Unity,2519,1.66,124974,11.4,3.5,50,60,recommended
144,Assassin's Creed Valhalla (PS4),3434,2.57,32611,6.9,4.2,150,200,recommended
145,Assassin's Creed: Brotherhood,1798,1.36,30405,37,4.2,25,30,recommended
146,Assassin's Creed: Revelations,1869,1.42,21641,36.3,4,25,30,recommended
147,ASTRO BOT Rescue Mission,2655,1.97,20771,16.4,4.7,10,12,recommended
148,Astrology and Horoscope Premium,303,1.01,476,94.7,1.5,0,1,not recommended
149,Astrology and Horoscope Premium (EU),302,1.01,260,97.7,2.5,0,1,not recommended
150,Atelier Firis: The Alchemist and the Mysterious Journey,1886,1.5,3995,35.4,3.5,40,50,recommended
151,Atelier Sophie: The Alchemist of the Mysterious Book,2164,1.6,10925,28.6,3.9,40,50,recommended
152,Attack of the Toy Tanks,1360,1.03,1964,90.6,1.3,0,1,not recommended
153,Attack of the Toy Tanks (Asia),1334,1.01,847,96.7,1,0,1,not recommended
154,Attack of the Toy Tanks (EU),1360,1.03,3071,90.8,1.6,0,1,not recommended
155,Autumn's Journey (EU),1323,1,777,99.4,2.5,0,1,not recommended
156,Aven Colony,2116,1.62,1778,27.4,3.8,20,25,recommended
157,Awesome Pea,1608,1.19,761,68.7,1.6,2,3,not recommended
158,Awesome Pea (EU),1577,1.17,782,71.5,2.2,1,2,not recommended
159,Axiom Verge,3993,2.99,9166,6.7,4.2,25,30,recommended
160,"Azayaka na Irodori no Naka de, Kimi Rashiku",303,1.01,616,97.7,2.4,0,1,not recommended
161,Back in 1995 (EU),1427,1.08,912,81.9,1.8,1,2,not recommended
162,Back to Bed,562,1.87,3003,16.9,2.8,2,3,not recommended
163,Back to the Future: The Game - 30th Anniversary Edition,1698,1.26,10274,55.1,3.6,10,12,recommended
164,Baseball Riot,510,1.7,940,22.7,3,6,8,not recommended
165,Bastion,2977,2.21,23514,15.7,4,15,20,recommended
166,BATMAN – The Telltale Series,1395,1.09,99794,74.1,3.8,1,2,recommended
167,Batman: Arkham Knight,4835,2,174910,1.3,4.2,40,50,recommended
168,Batman: Arkham VR,594,1.89,19074,16.4,3.9,3,4,recommended
169,Batman: Return to Arkham - Arkham Asylum,2382,1.76,42126,17.3,4.5,15,20,recommended
170,Batman: Return to Arkham - Arkham City,3888,2.23,30980,3.2,4.5,80,100,recommended
171,Batman: The Enemy Within - The Telltale Series,1352,1.06,29593,81.4,4,8,10,recommended
172,Battle Chasers: Nightwar,2999,2.27,8141,10.5,3.9,80,100,recommended
173,Battle Trivia Knockout,349,1.16,846,53.9,2.4,0,1,not recommended
174,Battle Trivia Knockout (EU),344,1.15,503,55.1,2.3,0,1,not recommended
175,Battleborn,5346,3.56,14925,1.6,3.2,120,150,recommended
176,Battlefield 1,4515,2.33,145216,2,4.2,35,40,recommended
177,Battlefield 4,3972,2.14,133500,1.7,3.9,50,60,recommended
178,Battlefield Hardline,5099,2.59,75536,0.4,3.5,40,50,recommended
179,Battlefield V,2985,2.29,59841,8.5,3.6,35,40,recommended
180,Batu Ta Batu,1430,1.06,489,80.2,3.5,0,1,recommended
181,Beach Buggy Racing,2936,2.22,6640,12.5,3.2,60,80,recommended
182,Bear With Me,1734,1.12,900,38.2,2.9,2,3,not recommended
183,Beat Saber,3993,2.99,21750,5.4,4.7,20,25,recommended
184,Beyond Eyes,373,1.18,2408,60,2.9,1,2,not recommended
185,Beyond: Two Souls,2894,2.24,84884,11.3,3.9,20,25,recommended
186,BFF or Die,1395,1.03,277,90.6,3,0,1,not recommended
187,BFF or Die (EU),1388,1.03,319,93.7,2.5,0,1,not recommended
188,Big Dipper,287,1.01,258,98.1,3,0,1,not recommended
189,BioShock 2 Remastered,2831,1.72,37843,9.2,4.2,15,20,recommended
190,BioShock Infinite: The Complete Edition,4413,2.28,55085,4.5,4.3,25,30,recommended
191,BioShock Remastered,3324,2.15,82257,5.1,4.5,15,20,recommended
192,Bird Game +,1326,1.03,2108,92.4,1.4,0,1,not recommended
193,Bird Game + (Asia),1306,1.01,970,96.5,1.1,0,1,not recommended
194,Bird Game + (EU),1323,1.03,3041,92.9,1.4,0,1,not recommended
195,Birthday Of Midnight,1345,1.02,851,93.9,3.1,0,1,recommended
196,Birthday Of Midnight (EU),1341,1.02,1462,94.7,2.6,0,1,not recommended
197,Black & White Bushido,1325,1.05,2644,88,2.1,0,1,not recommended
198,Black & White Bushido (EU),1313,1.04,2506,89.9,2.2,0,1,not recommended
199,Black Mirror,1536,1.22,5239,64.5,2.9,4,5,not recommended
200,Black The Fall,1399,1.06,1583,87.6,2.7,2,3,not recommended
201,Black The Fall (EU),1405,1.06,1981,86.6,2.8,2,3,not recommended
202,Blackwood Crossing,1373,1.05,1963,86.3,3.4,1,2,recommended
203,Blackwood Crossing (EU),1379,1.06,2874,84.6,3.4,1,2,recommended
204,BlazBlue Cross Tag Battle,2342,1.77,8290,18.3,4.1,6,8,recommended
205,Blind Men,1331,1.01,1932,98.3,1.6,0,1,not recommended
206,Blind Men (Asia),1329,1.01,825,98.7,2.2,0,1,not recommended
207,Blind Men (EU),1334,1.01,2631,97.8,2.1,0,1,not recommended
208,Blindfold VR,358,1.19,272,55.9,1.8,0,1,not recommended
209,Blood & Truth,4861,3.27,12604,0.8,4.2,20,25,recommended
210,Bloodborne,2153,1.41,163572,24.4,4.7,60,80,recommended
211,Bloodstained: Curse of the Moon,499,1.66,5700,17.2,4.1,8,10,recommended
212,Bloodstained: Ritual of the Night,1962,1.45,13446,33.2,4.4,30,35,recommended
213,Bloodstained: Ritual of the Night (EU),1974,1.46,7038,33.1,4.4,30,35,recommended
214,Blue Reflection,2014,1.49,4905,36,3.5,35,40,recommended
215,Blues and Bullets,1442,1.12,1700,0,3.4,1,2,recommended
216,Boku to Kanojo no Kenshuu Nisshi,306,1.02,663,95.8,2,0,1,not recommended
217,Bonfire,1441,1.13,441,66.9,3.5,0,1,recommended
218,Borderlands 2,4709,2.23,128033,3.9,4.4,80,100,recommended
219,Borderlands 3 (PS4),4339,2,79667,0.5,4.1,50,60,recommended
220,Borderlands: Game of the Year Edition,3529,1.72,25273,6.7,4.4,20,25,recommended
221,Borderlands: The Pre-Sequel,4301,2.58,98026,4.7,3.8,60,80,recommended
222,Bouncy Bullets,1346,1.02,2685,94.5,1.6,0,1,not recommended
223,Bouncy Bullets (Asia),1332,1.01,1141,97.6,2.4,0,1,not recommended
224,Bouncy Bullets (EU),1342,1.02,3566,95.3,2.3,0,1,not recommended
225,Breeder Homegrown: Director's Cut,1329,1.03,756,93.3,1.2,0,1,not recommended
226,Breeder Homegrown: Director's Cut (EU),1321,1.02,885,94.1,1.6,0,1,not recommended
227,Bridge Constructor,1741,1.35,5450,45.6,2.8,10,12,not recommended
228,Bridge Constructor Portal,1921,1.51,1621,36.2,3.1,15,20,recommended
229,BRIKS,1436,1.13,694,74.5,2.1,5,6,not recommended
230,Broken Age,2958,2.19,36104,11.8,3.4,10,12,recommended
231,Broken Sword 5 – The Serpent's Curse,1561,1.2,5943,59.7,3.7,6,8,recommended
232,Brothers: A Tale of Two Sons,375,1.19,7562,63.7,3.9,2,3,recommended
233,Bucket Knight,1384,1.04,1002,91.8,3.4,0,1,recommended
234,Bucket Knight (EU),1379,1.03,1379,93,2.3,0,1,not recommended
235,Bully,1945,1.49,23821,38.4,4.3,20,25,recommended
236,Burly Men at Sea,1470,1.11,26933,77.1,2.7,1,2,not recommended
237,Burnout Paradise Remastered,4575,2.24,19628,4.2,4.3,20,25,recommended
238,Burnout Paradise Remastered (EU),3809,1.87,24623,6.3,4.2,15,20,recommended
239,Butter & Friends: Babysitter Sim,1445,1.12,1539,68.6,1.7,0,1,not recommended
240,Call of Cthulhu,1985,1.5,8081,25.5,3.6,12,15,recommended
241,Call of Duty: Advanced Warfare,4896,2.44,109190,0.8,3.6,20,25,recommended
242,Call of Duty: Black Ops 4,8261,3.96,88620,0.8,3.5,200,700,recommended
243,Call of Duty: Black Ops III,7300,3.29,192528,0.5,3.5,150,200,recommended
244,Call of Duty: Ghosts,4922,2.33,74992,1.6,3.5,20,25,recommended
245,Call of Duty: Modern Warfare,2241,1.72,88319,5.5,4.1,10,12,recommended
246,Call of Duty: Modern Warfare 2 Campaign Remastered,2453,1.82,73056,19.7,4.2,15,20,recommended
247,Call of Duty: Modern Warfare Remastered,2401,1.78,124886,21.6,4.3,15,20,recommended
248,Call of Duty: WWII,7360,3.46,154762,0.6,3.6,35,40,recommended
249,Candle: The Power of the Flame,1606,1.27,697,57.5,3.9,5,6,recommended
250,Capcom Beat 'Em Up Bundle,450,1.43,5177,20.3,3.8,6,8,recommended
251,CARAVAN STORIES (JP),294,1.09,2111,71.8,3,0,1,not recommended
252,Castle Pals,1311,1.02,940,94.7,1.2,0,1,not recommended
253,Castle Pals (Asia),1300,1.01,403,98,1.2,0,1,not recommended
254,Castle Pals (EU),1317,1.02,1216,93.4,1.5,0,1,not recommended
255,Castlevania Requiem,2324,1.72,16223,22.2,4.5,15,20,recommended
256,CAT Interstellar,322,1.02,370,90.5,2.3,0,1,not recommended
257,Cat Quest,1456,1.09,7892,79.2,3.9,10,12,recommended
258,Cat Quest (JP),1377,1.03,243,91.8,3.5,6,8,recommended
259,Cat Quest II,1514,1.2,4048,63.6,3.8,8,10,recommended
260,Catlateral Damage,2057,1.58,7788,33.1,2.9,8,10,not recommended
261,CATTCH,1371,1.02,229,96.9,4.2,0,1,recommended
262,Cel Damage HD,512,1.63,5985,27.3,3.2,2,3,recommended
263,Celeste,2117,1.57,8366,31.1,4.3,20,25,recommended
264,Chaos on Deponia,1500,1.11,1074,77.6,3.3,3,4,recommended
265,Chaos on Deponia (EU),1567,1.16,2411,68,3.5,3,4,recommended
266,Chaos;Child: Love Chu*Chu!!,1424,1.05,1263,88.4,3.1,1,2,recommended
267,Chickens On The Road,1353,1,2803,99.5,1.6,0,1,not recommended
268,Chickens On The Road (Asia),1352,1,701,99.6,3,0,1,not recommended
269,Chickens On The Road (EU),1352,1,3968,99.5,1.4,0,1,not recommended
270,Child of Light,425,1.35,46238,31.6,4,10,12,recommended
271,Children of Morta,2083,1.6,2900,26.2,4,20,25,recommended
272,Chop is Dish,1418,1.05,781,88.2,0.5,0,1,not recommended
273,Christmas Break,1282,1.02,298,92.6,3.5,0,1,recommended
274,Christmas Break Head to Head (EU),1315,1.02,481,91.5,2.5,0,1,not recommended
275,ChromaGun (EU),1414,1.1,704,78.1,1.9,3,4,not recommended
276,Cities: Skylines,9133,3.48,29604,0.2,3.9,150,200,recommended
277,Citizens of Earth,693,2.2,2095,14.1,3.5,20,25,recommended
278,Claire,2623,2.03,12761,20.6,2.9,3,4,not recommended
279,Clash Force,1383,1.02,765,94.6,2.8,0,1,not recommended
280,Clash Force (EU),1392,1.03,1028,93.2,1.8,0,1,not recommended
281,Clockwork Tales: Of Glass and Ink,1328,1.05,6343,84.7,3,2,3,not recommended
282,Coaster (EU),323,1.08,60,80,2.2,0,1,not recommended
283,CODE VEIN,2544,1.88,22970,13.1,4.1,60,80,recommended
284,Code: Realize ~Bouquet of Rainbows~,1409,1.08,694,82.4,3.7,4,5,recommended
285,Code: Realize ~Wintertide Miracles~,1376,1.04,751,90,1.9,1,2,not recommended
286,Coffee Talk,1566,1.23,955,57.5,3.9,6,8,recommended
287,Coffin Dodgers,1414,1.08,10238,82.7,2.4,3,4,not recommended
288,Color Guardians,2008,1.52,18134,35.7,2.9,8,10,not recommended
289,Color Slayer,1373,1.06,2022,85.3,1.3,4,5,not recommended
290,Conan Exiles,1897,1.47,55781,35.9,2.3,1,2,not recommended
291,Concept Destruction (PS4),1390,1.03,1259,93,1.5,0,1,not recommended
292,Concept Destruction (PS4) (EU),1385,1.03,1953,93.2,2.4,0,1,not recommended
293,Concrete Genie,1798,1.29,12948,11.6,4.1,6,8,recommended
294,Contrast,467,1.48,26636,23.7,3.2,3,4,recommended
295,Contrast (EU),447,1.42,28436,28.4,3.3,6,8,recommended
296,Contrast (JP),424,1.35,2399,36.9,4,2,3,recommended
297,Control,2772,1.59,53720,3.7,4,20,25,recommended
298,Corridor Z,539,1.71,1839,14.2,3,15,20,not recommended
299,Cosmic Star Heroine,1988,1.52,3093,37.3,3.9,10,12,recommended
300,Costume Quest 2,413,1.31,4008,30.9,3.7,6,8,recommended
301,CounterSpy,854,2.71,44761,4.8,3.4,12,15,recommended
302,Crash Bandicoot,2816,2.04,121707,5.5,4.1,20,25,recommended
303,Crash Bandicoot 2: Cortex Strikes Back,2307,1.81,77099,19.3,4.3,12,15,recommended
304,Crash Bandicoot: Warped,2247,1.7,69991,10.6,4.4,15,20,recommended
305,Crash Dummy (EU),1679,1.26,562,60.9,1.5,4,5,not recommended
306,Crash Team Racing Nitro-Fueled,2982,2.28,54908,8.8,4.2,50,60,recommended
307,Croc's World,335,1.17,464,59.3,1,1,2,not recommended
308,Crossovers by POWGI,1357,1.03,1235,89.6,2.4,2,3,not recommended
309,Crossovers by POWGI (EU),1350,1.02,1807,91.8,2.8,1,2,not recommended
310,Crypt of the Serpent King,1556,1.24,831,61.4,1.7,3,4,not recommended
311,Crypto by POWGI,1354,1.03,815,94,2.5,0,1,not recommended
312,Crypto by POWGI (EU),1348,1.02,1100,94.5,2.8,0,1,not recommended
313,CRYSTAR,2089,1.58,961,25.7,3.9,50,60,recommended
314,Cybarian: The Time Travelling Warrior,1380,1.05,1998,86.4,2.1,0,1,not recommended
315,Cybarian: The Time Travelling Warrior (Asia),1337,1.01,927,96,1.8,0,1,not recommended
316,Cybarian: The Time Travelling Warrior (EU),1383,1.05,2722,85.6,1.9,0,1,not recommended
317,Cyberdimension Neptunia: 4 Goddesses Online,1936,1.43,3139,37.8,3.7,20,25,recommended
318,Cyberdimension Neptunia: 4 Goddesses Online (EU),1794,1.33,1584,45.7,3.3,25,30,recommended
319,Cyberpunk 2077,3596,2.79,55409,6.7,3.8,80,100,recommended
320,D.S. -Dal Segno-,1346,1.02,592,95.3,0.7,0,1,not recommended
321,Daggerhood,1386,1.03,3054,92.2,2.3,0,1,not recommended
322,Daggerhood (Asia),1365,1.01,1352,96.8,2.2,0,1,not recommended
323,Daggerhood (EU),1388,1.03,4201,91.5,2.4,0,1,not recommended
324,Danganronpa 1 & 2 Reload,2832,2.1,8180,12.7,4.6,80,100,recommended
325,Danganronpa Another Episode: Ultra Despair Girls,2249,1.68,3066,27.1,4,30,35,recommended
326,Danganronpa V3: Killing Harmony,3350,2.48,4474,7.3,4.2,80,100,recommended
327,Danger Zone,641,2.03,3789,9.1,3.2,4,5,recommended
328,Dark Arcana: The Carnival,1411,1.12,3516,72,3,4,5,not recommended
329,Dark Cloud,2000,1.55,8754,30.6,4.3,20,25,recommended
330,Dark Cloud 2,4051,3.1,8547,5.8,4.2,100,120,recommended
331,Dark Mystery (EU),351,1.23,196,61.2,1.8,3,4,not recommended
332,Dark Sauce (EU),1362,1.01,564,95.9,1,0,1,not recommended
333,Dark Souls II: Scholar of the First Sin,2234,1.65,64155,21.7,4.4,80,100,recommended
334,Dark Souls III,2123,1.57,116622,22.6,4.6,80,100,recommended
335,Dark Souls: Remastered,2110,1.56,50716,27.9,4.7,60,80,recommended
336,Darksiders Genesis,2091,1.55,6359,30.8,3.8,30,35,recommended
337,Darksiders II Deathinitive Edition,3302,2.45,63251,9.9,3.7,35,40,recommended
338,Darksiders III,3638,1.99,45633,3.8,3.8,35,40,recommended
339,Darksiders Warmastered Edition,2147,1.59,25788,25.6,4.1,20,25,recommended
340,Day of the Tentacle Remastered,1648,1.29,44309,54,3.8,2,3,recommended
341,Daylight,617,2.16,3639,5.6,3,6,8,not recommended
342,Days Gone,4788,2.68,121982,1.1,4.2,60,80,recommended
